Date,CPI,Employment Level,Hourly Earnings,Hours Worked,Unemployment Rate
2008-01-01,211.08,138391,21.19,34.4,5.0
2008-02-01,211.693,138327,21.27,34.3,4.9
2008-03-01,213.528,138257,21.35,34.4,5.1
2008-04-01,214.823,138038,21.38,34.4,5.0
2008-05-01,216.632,137851,21.47,34.4,5.4
2008-06-01,218.815,137698,21.52,34.3,5.6
2008-07-01,219.964,137498,21.61,34.3,5.8
2008-08-01,219.086,137211,21.7,34.3,6.1
2008-09-01,218.783,136762,21.73,34.2,6.1
2008-10-01,216.573,136293,21.76,34.3,6.5
2008-11-01,212.425,135543,21.86,34.1,6.8
2008-12-01,210.228,134847,21.94,33.9,7.3
2009-01-01,211.143,134078,21.96,34.0,7.8
2009-02-01,212.193,133317,21.98,34.0,8.3
2009-03-01,212.709,132492,22.05,33.8,8.7
2009-04-01,213.24,131821,22.1,33.8,9.0
2009-05-01,213.856,131468,22.12,33.8,9.4
2009-06-01,215.693,131007,22.14,33.7,9.5
2009-07-01,215.351,130662,22.18,33.8,9.5
2009-08-01,215.834,130472,22.23,33.8,9.6
2009-09-01,215.969,130247,22.27,33.9,9.8
2009-10-01,216.177,130062,22.31,33.8,10.0
2009-11-01,216.33,130058,22.33,33.9,9.9
2009-12-01,215.949,129808,22.37,33.9,9.9
2010-01-01,216.687,129802,22.41,34.0,9.8
2010-02-01,216.741,129705,22.46,33.8,9.8
2010-03-01,217.631,129865,22.46,34.0,9.9
2010-04-01,218.009,130120,22.49,34.1,9.9
2010-05-01,218.178,130643,22.51,34.2,9.6
2010-06-01,217.965,130509,22.53,34.1,9.4
2010-07-01,218.011,130415,22.59,34.2,9.4
2010-08-01,218.312,130416,22.62,34.2,9.5
2010-09-01,218.439,130342,22.67,34.3,9.5
2010-10-01,218.711,130621,22.74,34.3,9.4
2010-11-01,218.803,130749,22.73,34.2,9.8
2010-12-01,219.179,130830,22.76,34.3,9.3
2011-01-01,220.223,130837,22.87,34.2,9.1
2011-02-01,221.309,131056,22.87,34.3,9.0
2011-03-01,223.467,131282,22.87,34.3,9.0
2011-04-01,224.906,131597,22.91,34.4,9.1
2011-05-01,225.964,131704,22.97,34.4,9.0
2011-06-01,225.722,131931,23.01,34.3,9.1
2011-07-01,225.922,131993,23.11,34.4,9.0
2011-08-01,226.545,132125,23.07,34.3,9.0
2011-09-01,226.889,132344,23.11,34.4,9.0
2011-10-01,226.421,132553,23.18,34.5,8.8
2011-11-01,226.23,132690,23.19,34.4,8.6
2011-12-01,225.672,132888,23.22,34.4,8.5
2012-01-01,226.665,133245,23.26,34.5,8.3
2012-02-01,227.663,133508,23.28,34.5,8.3
2012-03-01,229.392,133748,23.36,34.5,8.2
2012-04-01,230.085,133825,23.38,34.4,8.2
2012-05-01,229.815,133933,23.41,34.4,8.2
2012-06-01,229.478,134012,23.46,34.4,8.2
2012-07-01,229.104,134157,23.49,34.4,8.2
2012-08-01,230.379,134338,23.49,34.4,8.1
2012-09-01,231.407,134517,23.57,34.4,7.8
2012-10-01,231.317,134668,23.56,34.4,7.8
2012-11-01,230.221,134825,23.63,34.4,7.7
2012-12-01,229.601,135074,23.72,34.5,7.9
2013-01-01,230.28,135257,23.75,34.4,8.0
2013-02-01,232.166,135545,23.77,34.5,7.7
2013-03-01,232.773,135689,23.8,34.5,7.5
2013-04-01,232.531,135873,23.87,34.4,7.6
2013-05-01,232.945,136095,23.89,34.5,7.5
2013-06-01,233.504,136279,23.96,34.5,7.5
2013-07-01,233.596,136391,23.98,34.4,7.3
2013-08-01,233.877,136646,24.02,34.5,7.2
2013-09-01,234.149,136821,24.06,34.4,7.2
2013-10-01,233.546,137041,24.09,34.4,7.2
2013-11-01,233.069,137316,24.16,34.4,6.9
2013-12-01,233.049,137373,24.18,34.4,6.7
2014-01-01,233.916,137561,24.23,34.4,6.6
2014-02-01,234.781,137712,24.33,34.3,6.7
2014-03-01,236.293,137985,24.31,34.5,6.7
2014-04-01,237.072,138297,24.34,34.5,6.2
2014-05-01,237.9,138512,24.4,34.5,6.3
2014-06-01,238.343,138849,24.46,34.5,6.1
2014-07-01,238.25,139073,24.48,34.5,6.2
2014-08-01,237.852,139269,24.54,34.6,6.1
2014-09-01,238.031,139563,24.55,34.5,5.9
2014-10-01,237.433,139797,24.58,34.6,5.7
2014-11-01,236.151,140090,24.66,34.6,5.8
2014-12-01,234.812,140364,24.63,34.6,5.6
2015-01-01,233.707,140568,24.75,34.5,5.7
2015-02-01,234.722,140827,24.8,34.6,5.5
2015-03-01,236.119,140923,24.85,34.5,5.4
